2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:55, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:56, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:57, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:58, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:16:59, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:00, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:01, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:02, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:03, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:04, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:05, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:06, 0 mm, 0 Hz
2024-01-23 09:17:07, 0 mm, 0 Hz
2024-01-23 09:17:07, 0 mm, 0 Hz
2024-01-23 09:17:07, 0 mm, 0 Hz
2024-01-23 09:17:07, 0 mm, 0 Hz
2024-01-23 09:17:07, 0 mm, 0 Hz
2024-01-23 09:17:07, 0 mm, 0 Hz
2024-01-23 09:17:07, 0 mm, 0 Hz
2024-01-23 09:17:07, 0 mm, 0 Hz
2024-01-24 11:10:21, 0 mm, 0 Hz
2024-01-24 11:10:21, 0 mm, 0 Hz
2024-01-24 11:10:21, 0 mm, 0 Hz
2024-01-24 11:10:21, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:22, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:23, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:24, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:25, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:26, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:27, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:28, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:29, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:30, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:31, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:32, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:33, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:34, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:35, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:36, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:37, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:38, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:39, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:40, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:41, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:42, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:43, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:44, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:45, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:46, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:47, 0 mm, 0 Hz
2024-01-24 11:10:48, 0 mm, 0 Hz
2024-01-24 11:10:48, 0 mm, 0 Hz
2024-01-24 11:10:48, 0 mm, 0 Hz
2024-01-24 11:10:48, 0 mm, 0 Hz
2024-01-24 11:10:48, 0 mm, 0 Hz
2024-01-24 11:10:48, 0 mm, 0 Hz
2024-01-24 11:10:48, 0 mm, 0 Hz
2024-01-24 11:10:48, 28.21333408355713 mm, 0.09333333333333334 Hz
2024-01-24 11:10:48, 28.206191062927246 mm, 0.09333333333333334 Hz
2024-01-24 11:10:48, 28.2171368598938 mm, 0.09333333333333334 Hz
2024-01-24 11:10:48, 28.25361728668213 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.311123847961426 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.302781581878662 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.289005756378174 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.26768398284912 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.260903358459473 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.269715309143066 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.228724002838135 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.15817356109619 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.163578510284424 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.17568063735962 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.174779415130615 mm, 0.09333333333333334 Hz
2024-01-24 11:10:49, 28.204286098480225 mm, 0.09333333333333334 Hz
2024-01-24 11:10:50, 28.19230318069458 mm, 0.09333333333333334 Hz
2024-01-24 11:10:50, 28.184313774108887 mm, 0.09333333333333334 Hz
2024-01-24 11:10:50, 28.15523386001587 mm, 0.09333333333333334 Hz
2024-01-24 11:10:50, 28.146114349365234 mm, 0.09333333333333334 Hz
2024-01-24 11:10:50, 28.12183380126953 mm, 0.09333333333333334 Hz
2024-01-24 11:10:50, 28.139545917510986 mm, 0.09333333333333334 Hz
2024-01-24 11:10:50, 28.151440620422363 mm, 0.09333333333333334 Hz
2024-01-24 11:10:50, 28.226332664489746 mm, 0.12000000000000001 Hz
2024-01-24 11:10:50, 28.260831832885742 mm, 0.12000000000000001 Hz
2024-01-24 11:10:50, 28.31404685974121 mm, 0.12000000000000001 Hz
2024-01-24 11:10:50, 28.334953784942627 mm, 0.12000000000000001 Hz
2024-01-24 11:10:51, 28.34176540374756 mm, 0.12000000000000001 Hz
2024-01-24 11:10:51, 28.315606117248535 mm, 0.12000000000000001 Hz
2024-01-24 11:10:51, 28.290677070617676 mm, 0.12000000000000001 Hz
2024-01-24 11:10:51, 28.320963382720947 mm, 0.12000000000000001 Hz
2024-01-24 11:10:51, 28.285903930664062 mm, 0.12000000000000001 Hz
2024-01-24 11:10:51, 28.206181526184082 mm, 0.09333333333333334 Hz
2024-01-24 11:10:51, 28.15419912338257 mm, 0.09333333333333334 Hz
2024-01-24 11:10:51, 28.176157474517822 mm, 0.09333333333333334 Hz
2024-01-24 11:10:51, 28.20274591445923 mm, 0.09333333333333334 Hz
2024-01-24 11:10:51, 28.264691829681396 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.24509620666504 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.225748538970947 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.197166919708252 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.17439556121826 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.17451238632202 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.176207542419434 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.23683261871338 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.29662561416626 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.2981276512146 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.29457998275757 mm, 0.09333333333333334 Hz
2024-01-24 11:10:52, 28.30064058303833 mm, 0.09333333333333334 Hz
2024-01-24 11:10:53, 28.24424982070923 mm, 0.09333333333333334 Hz
2024-01-24 11:10:53, 28.201675415039062 mm, 0.09333333333333334 Hz
